jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;cdu1;cdu2;csu1;csu2;spd1;spd2;fdp1;fdp2;gru1;gru2;pds1;pds2
1990;146;Neuwied;7;0;226789;185531;182304;183629;87081;86018;0;0;70471;66882;13112;19297;7926;6089;0;284
1990;147;Ahrweiler;7;0;177684;144609;142314;142841;77101;75969;0;0;43367;42590;11421;15417;5685;4542;0;188
1990;148;Koblenz;7;0;185693;150303;147872;148750;72231;71714;0;0;54781;50016;11162;17015;6936;5855;0;257
1990;149;Cochem;7;0;137813;115637;112591;113869;59636;60376;0;0;33317;32553;12151;13103;5750;4094;0;162
1990;150;Kreuznach;7;0;186966;150598;147520;148713;59113;59972;0;0;66719;61629;12372;16859;7832;5545;0;242
1990;151;Bitburg;7;0;161007;131735;128395;129274;73483;71399;0;0;36852;35609;8084;12957;5013;4529;0;117
1990;152;Trier;7;0;178701;144774;141780;142506;69564;66728;0;0;52339;52382;7641;12853;7579;6052;0;252
1990;153;Montabaur;7;0;234675;192761;188989;190720;90728;88199;0;0;74292;69662;14435;20283;8904;6605;0;244
1990;154;Mainz;7;0;231072;188383;185617;186378;80089;76773;0;0;68740;66013;17009;23780;13225;11866;0;624
1990;155;Worms;7;0;177080;143163;140535;140972;53835;52967;0;0;62611;58930;10536;15214;8465;7049;0;313
1990;156;Frankenthal;7;0;148153;123230;120736;121263;49887;49967;0;0;52514;48890;8318;12370;5737;4888;0;243
1990;157;Ludwigshafen;7;0;161135;129665;128035;128020;57230;53440;0;0;55425;51513;5848;11865;5606;5411;0;348
1990;158;Neustadt – Speyer;7;0;176175;146297;143756;144192;69914;69066;0;0;50669;47240;9963;15123;7695;6359;0;265
1990;159;Kaiserslautern;7;0;215815;173137;169917;170324;68298;68351;0;0;80439;74980;9075;13502;5965;6147;0;333
1990;160;Pirmasens;7;0;147372;118593;115784;116375;53648;54091;0;0;44563;42946;7951;10315;4812;3655;0;162
1990;161;Südpfalz;7;0;189458;158638;155602;155893;77115;73766;0;0;53874;51309;9143;15330;7337;6910;0;229
1990;162;Stuttgart I;8;0;194702;151537;149990;150398;61373;55882;0;0;46637;45944;17834;26617;14444;12868;0;763
1990;163;Stuttgart II;8;0;198321;150544;148681;149117;60317;57925;0;0;54873;50656;13317;20894;9517;9016;0;654
1990;164;Böblingen;8;0;233144;187689;185116;185938;88251;84102;0;0;53177;51644;16247;26799;18007;11725;0;350
1990;165;Esslingen;8;0;161343;131070;129363;129827;63809;57841;0;0;43249;39221;9631;18091;6969;7219;0;337
1990;166;Nürtingen;8;0;178884;143531;141326;142035;66254;63156;0;0;42665;39812;13642;21218;12780;8691;0;243
1990;167;Göppingen;8;0;175412;135744;133070;133938;58085;59497;0;0;42171;39875;17687;18658;7108;6330;0;245
1990;168;Waiblingen;8;0;207899;163308;160563;161599;76294;70486;0;0;48547;46390;17535;25025;9311;8526;0;370
1990;169;Ludwigsburg;8;0;195024;156940;154923;155379;75156;65487;0;0;48944;47136;11472;23721;11879;9354;0;323
1990;170;Neckar-Zaber;8;0;179103;143674;141314;141877;62818;60245;0;0;48257;43044;13487;20182;9064;8480;0;297
1990;171;Heilbronn;8;0;232451;180497;177380;177668;83164;77360;0;0;60601;58632;13624;20855;10158;8448;0;319
1990;172;Schwäbisch Hall;8;0;191549;143248;140524;141107;60509;61798;0;0;43260;40985;20161;19219;10410;7879;0;237
1990;173;Backnang – Schwäbisch Gmünd;8;0;162818;124260;122200;122632;61592;55553;0;0;36193;35045;8450;16096;9476;7209;0;230
1990;174;Aalen – Heidenheim;8;0;214481;167647;164506;165126;81464;77874;0;0;49474;50025;11471;17175;9932;8083;0;306
1990;175;Karlsruhe-Stadt;8;0;207563;156020;153748;154174;69003;64347;0;0;55344;50788;10853;19577;11791;11019;0;645
1990;176;Karlsruhe-Land;8;0;232099;185338;181458;182171;99305;93573;0;0;52208;52885;11983;17406;10078;8248;0;241
1990;177;Rastatt;8;0;249727;190475;186649;187159;99866;98665;0;0;49220;50287;18986;20015;9872;8319;0;278
1990;178;Heidelberg;8;0;192071;150654;148559;148944;63581;61007;0;0;55451;52436;9541;17703;13990;11679;0;607
1990;179;Mannheim I;8;0;149243;108070;106212;106484;43110;40926;0;0;43348;42715;6029;9986;9011;6398;0;679
1990;180;Mannheim II;8;0;160723;129736;127849;128124;57546;55760;0;0;48214;43668;10062;15749;7704;7219;0;360
1990;181;Odenwald – Tauber;8;0;200840;156689;153233;154151;88806;85523;0;0;42731;39967;8841;14291;8827;6078;0;185
1990;182;Rhein-Neckar;8;0;175325;141337;138904;139177;68354;65529;0;0;47674;44570;8783;15001;7979;7319;0;250
1990;183;Pforzheim;8;0;208229;159139;156389;156838;73355;69625;0;0;50256;47498;13279;19742;9583;7951;0;302
