jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;csu1;csu2;gru1;gru2;fdp1;fdp2;pds1;pds2
2005;1;Flensburg - Schleswig;1;0;220967;171827;169231;74802;66099;74480;61535;0;0;7068;13597;5347;16397;6150;8120
2005;2;Nordfriesland - Dithmarschen Nord;1;0;184580;143778;141720;56380;51307;67786;59034;0;0;5670;8854;5907;14270;4542;5475
2005;3;Steinburg - Dithmarschen Süd;1;0;177200;139014;136906;56428;49715;61471;53340;0;0;4480;8979;6024;14701;4899;6288
2005;4;Rendsburg-Eckernförde;1;0;197355;158841;156779;68480;59001;69082;59743;0;0;6164;12613;5607;15507;5106;6522
2005;5;Kiel;1;0;194234;151040;148992;75473;61777;50437;42945;0;0;9196;18995;4509;13190;6103;8899
2005;6;Plön - Neumünster;1;0;174075;136982;134882;63207;53258;57110;48910;0;0;5166;10345;4798;12945;0;6009
2005;7;Pinneberg;1;0;227185;185609;183322;78236;68570;80935;67534;0;0;9118;16610;6743;18796;6142;8043
2005;8;Segeberg - Stormarn-Nord;1;0;233522;188632;186525;79520;68214;81812;68553;0;0;7522;16110;7530;21167;5971;8166
2005;9;Ostholstein;1;0;177834;140965;139123;61947;53947;60608;52564;0;0;3798;9353;5402;14442;4363;5794
2005;10;Herzogtum Lauenburg - Stormarn-Süd;1;0;232711;190357;187899;82387;67206;83029;69894;0;0;9499;17328;8955;21046;0;8203
2005;11;Lübeck;1;0;179114;132068;129730;64442;56267;46254;40458;0;0;5664;11928;4493;10859;5358;7236
2005;12;Wismar - Nordwestmecklenburg - Parchim;12;1;219787;156558;153789;57998;54101;44656;43197;0;0;4322;6446;7999;9610;33509;33906
2005;13;Schwerin - Ludwigslust;12;1;185092;134742;132410;54180;49324;35360;34064;0;0;3466;6102;5158;7781;28167;28978
2005;14;Rostock;12;1;193869;139568;137590;51623;53531;35053;31419;0;0;12917;7483;5656;7436;30578;32859
2005;15;Stralsund - Nordvorpommern - Rügen;12;1;203689;141356;138197;35028;35478;57131;47783;0;0;2734;4404;4078;10351;32850;33294
2005;16;Greifswald - Demmin - Ostvorpommern;12;1;208610;145628;142649;36308;35419;53000;50875;0;0;3855;4718;7946;9502;34543;33863
2005;17;Bad Doberan - Güstrow - Müritz;12;1;215271;154726;151772;50836;48027;48653;46295;0;0;4252;5989;5820;9470;34824;35020
2005;18;Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow;12;1;192472;138309;135312;40157;38950;42316;39683;0;0;3358;4237;6183;7899;36734;36782
2005;19;Hamburg-Mitte;2;0;245210;179752;177366;87748;74573;48762;42351;0;0;20230;27703;6407;13806;10869;13967
2005;20;Hamburg-Altona;2;0;170950;136372;135037;61936;47600;45468;38333;0;0;15507;25387;4444;12185;6492;8914
2005;21;Hamburg-Eimsbüttel;2;0;181988;147354;146017;65610;54488;49039;40058;0;0;18249;26223;5297;13841;6366;8977
2005;22;Hamburg-Nord;2;0;203063;168352;166993;72148;58596;65788;53812;0;0;16177;26143;6003;18089;5602;7951
2005;23;Hamburg-Wandsbek;2;0;214063;163239;161343;79926;65105;57577;49305;0;0;8237;18519;5648;14572;7542;9827
2005;24;Hamburg-Bergedorf - Harburg;2;0;215443;159084;156608;79967;65184;53810;48559;0;0;7330;16776;5105;12100;7632;9827
2005;25;Aurich - Emden;3;0;187031;144499;142226;82618;79448;38467;35368;0;0;8748;8868;4441;8800;5516;6357
2005;26;Unterems;3;0;227506;177726;175431;69621;72167;82559;71136;0;0;6246;7242;8246;13634;5742;7137
2005;27;Friesland - Wilhelmshaven;3;0;190965;146571;143982;72454;67133;48472;43900;0;0;5480;8409;7187;12846;6004;6962
2005;28;Oldenburg - Ammerland;3;0;210068;166206;164365;73355;72316;58364;46510;0;0;16369;18185;6341;15308;7963;8583
2005;29;Delmenhorst - Wesermarsch - Oldenburg-Land;3;0;224736;175320;172408;86321;79652;59327;49561;0;0;8209;12405;8741;17836;6856;8398
2005;30;Cuxhaven - Osterholz;3;0;210025;166947;164921;82037;73021;58579;50873;0;0;7454;13070;6629;14721;7653;8501
2005;31;Stade - Cuxhaven;3;0;189309;149433;147717;70727;61849;62515;52418;0;0;5476;10086;5514;13466;0;5841
2005;32;Mittelems;3;0;222778;179716;177790;61236;60408;98882;86520;0;0;5848;8212;6167;15042;4315;4897
2005;33;Cloppenburg - Vechta;3;0;206345;160307;158329;41988;40084;101777;90513;0;0;3723;5227;6177;16071;3018;3602
2005;34;Diepholz - Nienburg I;3;0;192368;152034;150578;68750;62773;58684;50311;0;0;8329;11070;7454;16092;5418;6577
2005;35;Rotenburg - Verden;3;0;228603;181702;179911;79391;72932;72313;63353;0;0;10172;14035;9027;16932;5714;7347
2005;36;Soltau-Fallingbostel - Winsen L.;3;0;249536;203505;201243;88818;78893;84804;71525;0;0;8262;16088;8304;21287;6779;7809
2005;37;Lüchow-Dannenberg - Lüneburg;3;0;220920;175719;173697;75927;67091;66388;56575;0;0;13172;18985;7162;16812;8209;9519
2005;38;Osnabrück-Land;3;0;194638;154657;152984;61900;57200;71536;62100;0;0;6884;10143;6635;15371;4274;5039
2005;39;Stadt Osnabrück;3;0;191774;153955;152307;67136;60941;61467;54431;0;0;9528;14734;8038;14015;4801;5615
2005;40;Nienburg II - Schaumburg;3;0;199276;157540;155704;80280;73126;57237;50643;0;0;5190;9457;5374;12548;4637;5618
2005;41;Stadt Hannover I;3;0;179372;140366;138818;73195;64477;44061;36313;0;0;8333;15356;5419;12349;5565;6666
2005;42;Stadt Hannover II;3;0;188507;147965;146313;79249;66004;44250;37099;0;0;9943;20271;4629;11689;6305;7969
2005;43;Hannover-Land I;3;0;231063;187725;185691;92505;82786;70840;60292;0;0;6100;13112;7931;18205;5466;6554
2005;44;Celle - Uelzen;3;0;217953;172223;170305;79449;69053;70623;61932;0;0;5275;11021;6156;16195;5477;7086
2005;45;Gifhorn - Peine;3;0;216115;174673;172462;87957;79969;63355;55810;0;0;5645;10509;5354;14026;5984;7193
2005;46;Hameln-Pyrmont - Holzminden;3;0;201339;158761;156408;78435;74129;54582;45916;0;0;6815;9756;7248;15170;6737;7057
2005;47;Hannover-Land II;3;0;238612;195863;193538;99465;90630;69840;58796;0;0;8000;15028;6658;16590;6429;7164
2005;48;Hildesheim;3;0;223707;182239;179645;91383;84440;66053;58261;0;0;8630;12684;4929;12909;5481;6781
2005;49;Salzgitter - Wolfenbüttel;3;0;217909;173204;170348;89068;81279;60671;53365;0;0;5718;9317;4466;12572;6896;8596
2005;50;Braunschweig;3;0;187823;147350;145397;74710;64679;51257;42048;0;0;6613;14421;4414;12344;6376;8096
2005;51;Helmstedt - Wolfsburg;3;0;188485;148023;145432;71846;67936;54172;46352;0;0;5414;8297;4718;11368;5607;6567
2005;52;Goslar - Northeim - Osterode;3;0;219886;173976;171219;86432;78632;62869;53595;0;0;5145;9799;6791;16163;7359;8402
2005;53;Göttingen;3;0;226392;180697;178479;83493;75126;63639;54431;0;0;13854;19066;6324;15980;7624;9267
2005;54;Bremen I;4;0;252856;196547;194081;93663;77039;54538;46223;0;0;23445;32198;7198;17186;12701;15817
2005;55;Bremen II - Bremerhaven;4;0;233619;170735;167840;91154;78327;41582;36166;0;0;11702;19402;6316;12143;12957;14753
2005;56;Prignitz - Ostprignitz-Ruppin - Havelland I;13;1;176284;126283;124019;47727;45385;29092;27219;0;0;6809;5510;5522;7941;31280;32966
2005;57;Uckermark - Barnim I;13;1;174854;124502;122429;48358;44371;28104;25204;0;0;2947;4579;4174;6585;34257;35772
2005;58;Oberhavel - Havelland II;13;1;240691;184656;181615;76005;65617;47977;40007;0;0;0;11868;7567;14446;39751;40008
2005;59;Märkisch-Oderland - Barnim II;13;1;248485;189602;186341;65841;64590;38074;34858;0;0;4817;9020;7123;12233;61604;55493
2005;60;Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I;13;1;203338;147006;144067;59304;54128;32329;29083;0;0;4063;6442;6029;9494;37881;38172
2005;61;Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II;13;1;254100;202354;199485;81092;74114;43923;38068;0;0;9232;17332;7159;15653;51050;47059
2005;62;Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I;13;1;214652;163014;160107;68287;59146;37339;34157;0;0;4581;7392;6542;10783;37719;40947
2005;63;Frankfurt (Oder) - Oder-Spree;13;1;212095;159026;156259;55335;55201;31943;29626;0;0;4332;7078;6256;9917;51895;45467
2005;64;Cottbus - Spree-Neiße;13;1;203223;149081;146750;55110;52699;32147;29234;0;0;4111;6302;8128;10193;39877;40410
2005;65;Elbe-Elster - Oberspreewald-Lausitz II;13;1;200630;149459;146542;50985;46438;37826;34944;0;0;3670;4730;8223;10491;37797;40065
2005;66;Altmark;14;1;188647;135206;132712;44012;43852;41197;35087;0;0;2975;4584;4515;8372;36157;36503
2005;67;Elbe-Havel-Gebiet;14;1;237003;169124;165661;61731;55174;47331;44430;0;0;4909;6073;7531;12329;37918;41621
2005;68;Harz;14;1;205558;146466;143427;48294;48867;39096;36425;0;0;6049;5652;7847;10396;37293;36936
2005;69;Magdeburg;14;1;192472;136937;134142;54634;50074;31225;27803;0;0;4867;8147;4954;8550;35005;35814
2005;70;Börde;14;1;206199;141709;138646;50359;46101;36837;34732;0;0;2343;4085;8103;10564;35251;37835
2005;71;Anhalt;14;1;226744;163447;160167;53723;50661;48633;40397;0;0;4005;6586;7295;14142;38661;41694
2005;72;Bernburg - Bitterfeld - Saalkreis;14;1;205591;147489;144067;51947;45257;41289;36464;0;0;3059;4861;9010;14483;32007;36922
