"wknr";"cdsu_names";"spd_names";"fdp_names";"gru_names";"lin_names";"cdsu1share";"spd1share";"fdp1share";"gru1share";"lin1share"
143;"Steffen Kanitz  ";"Sabine Poschmann   ";"Daniel Poznanski  ";"Katja Bender  ";"Hannelore Tölke  ";0.322;0.467;0.015;0.068;0.069
144;"Hubert Wilhelm Hüppe  ";"Oliver Kaczmarek   ";"Heike Schaumann  ";"Malte Johannes Spitz  ";"Walter Wendt-Kleinberg  ";0.358;0.467;0.017;0.056;0.053
145;"Sylvia Sabine Jörrißen  ";"Michael Thews   ";"Christoph Dammermann  ";"Marie-Therese Dazert  ";"Udo Gabriel  ";0.393;0.432;0.021;0.05;0.056
146;"Bernhard August Schulte-Drüggelte   ";"Wolfgang Hellmich  ";"Ingo Westermann  ";"Cordula Ungruh  ";"Michael Bruns  ";0.498;0.333;0.023;0.06;0.05
147;"Patrick Ernst Hermann Sensburg   ";"Dirk Wiese  ";"Hans-Werner Ehrenberg  ";"Antonius Becker  ";"Beate Raberg  ";0.561;0.299;0.019;0.042;0.041
148;"Volkmar Klein   ";"Willi Brase  ";"Helga Daub  ";"Dr Peter Hans Neuhaus  ";"Peter Schulte  ";0.458;0.365;0.022;0.05;0.045
149;"Dr Matthias Heider   ";"Petra Crone  ";"Johannes Vogel  ";"Kai Steffen Bitzer  ";"Wolfgang Hoffmann  ";0.517;0.327;0.024;0.034;0.038
150;"Christel Hedwig Ernestine Voßbeck-Kayser  ";"Dagmar Freitag   ";"Michael Schulte  ";"Elke Elfriede Olbrich-Tripp  ";"Manuel Huff  ";0.416;0.417;0.019;0.031;0.048
151;"Marian Wendt   ";"Heiko Wittig  ";"Dr Jutta Liddy Ida Kreitz  ";"Bernd Brandtner  ";"Susanna Karawanskij  ";0.456;0.204;0.021;0.031;0.218
152;"Bettina Irene Kudla   ";"Daniela Kolbe  ";"Marcus Viefeld  ";"Stefanie Gruner  ";"Dr Barbara Höll  ";0.4;0.216;0.017;0.056;0.234
153;"Dr Thomas Wolfgang Feist   ";"Wolfgang Erwin Bernhard Tiefensee  ";"Holger Krahmer  ";"Monika Lazar  ";"Mike Nagler  ";0.343;0.233;0.015;0.09;0.249
154;"Barbara Katharina Landgraf   ";"Harald Redepenning  ";"Steve Görnitz  ";"Tommy Penk  ";"Dr Axel Troost  ";0.513;0.158;0.019;0.033;0.214
155;"Dr Karl Ernst Thomas Maizière de   ";"Susann Rüthrich  ";"Jan Mücke  ";"Johannes Lichdi  ";"Sebastian Scheel  ";0.536;0.127;0.024;0.034;0.177
156;"Maria Ludwiga Michalk   ";"Ilko Keßler  ";"Reiner Peter Deutschmann  ";"Sten Jacobson  ";"Caren Nicole Lay  ";0.492;0.114;0.026;0.024;0.213
157;"Michael Kretschmer   ";"Thomas Edmund Jurk  ";"Daniel Alexis-Adolf Breutmann  ";"Prof Dr Joachim Schulze  ";"Dr Ilja Seifert  ";0.496;0.152;0.016;0.034;0.197
158;"Klaus Peter Brähmig   ";"Klaus Dieter Wolframm  ";"Thomas Richter  ";"Heidi Meißner  ";"Dr André Peter Frank Hahn  ";0.502;0.107;0.018;0.029;0.19
159;"Andreas Gottfried Lämmel   ";"Ines Vogel  ";"Johannes Hubertus Lohmeyer  ";"Ulrike Bürgel  ";"Katja Kipping  ";0.426;0.149;0.019;0.061;0.25
160;"Arnold Eugen Hugo Vaatz   ";"Thomas Blümel  ";"Matteo Böhme  ";"Stephan Kühn  ";"Tilo Kießling  ";0.418;0.148;0.02;0.098;0.191
161;"Veronika Maria Bellmann   ";"Dr Simone Raatz  ";"Marco Weißbach  ";"Sebastian Tröbs  ";"Rudolf Lothar Schmidt  ";0.519;0.154;0.022;0.032;0.203
162;"Frank Heinrich   ";"Detlef Müller  ";"Dr Kristian Reinhold  ";"Petra Inge Zais  ";"Michael Gerhard Leutert  ";0.417;0.209;0.02;0.048;0.238
163;"Marco Wanderwitz   ";"Anka Simone Violka  ";"Manfred Stefan Frünke  ";"Dan Fehlberg  ";"Jörn Heinz Adolf Wunderlich  ";0.496;0.156;0.023;0.037;0.219
164;"Helmut Günter Baumann   ";"Wolfgang Michael Gunkel  ";"Heinz-Peter Haustein  ";"Bert Meyer  ";"Andrea Schrutek  ";0.502;0.121;0.065;0.032;0.206
165;"Carsten Körber   ";"Andreas Weigel  ";"Nico Tippelt  ";"Lars Dörner  ";"Sabine Zimmermann  ";0.446;0.158;0.027;0.03;0.246
166;"Robert Hochbaum   ";"Benjamin Frank Zabel  ";"Martin Treeck  ";"Hanna Susanne Agnes Russo  ";"Janina Pfau  ";0.483;0.207;0.026;0.026;0.196
167;"Thomas Viesehon   ";"Ullrich Karl Wolfgang Meßmer  ";"Björn Sänger  ";"Caroline Chantal Tönges  ";"Dieter Hille  ";0.415;0.413;0.027;0.063;0.054
168;"Dr Norbert Wett  ";"Ulrike Gottschalck   ";"Matthias Nölke  ";"Nicole Christa Maisch  ";"Kai Manuel Boeddinghaus  ";0.352;0.4;0.021;0.106;0.084
169;"Helmut Heiderich  ";"Michael Helmut Roth   ";"Manfred Lister  ";"Armin Jung  ";"Dr Johanna Marianne Scheringer-Wright  ";0.405;0.431;0.02;0.05;0.057
170;"Bernd Siebert  ";"Dr Edgar Konrad Helmut Franke   ";"Dennis Majewski  ";"Hermann Häusling  ";"Heidemarie Scheuch-Paschkewitz  ";0.396;0.423;0.022;0.058;0.05
171;"Dr Stefan Heck  ";"Sören Bartol   ";"Jörg Hartmut Behlen  ";"Matthias Knoche  ";"Janis Ehling  ";0.396;0.437;0.017;0.059;0.053
172;"Sibylle Luise Gisela Pfeiffer   ";"Dagmar Schmidt  ";"Wolfgang Berns  ";"Priska Margarete Hinz  ";"Hans-Horst Knies  ";0.481;0.344;0.021;0.061;0.046
173;"Dr Helge Reinhold Braun   ";"Rüdiger Veit  ";"Dr Hermann Otto Solms-Hohensolms-Lich Prinz zu  ";"Thomas Koenigs  ";"Ali Abass Yahya Al-Dailami  ";0.444;0.355;0.03;0.073;0.051
174;"Michael Brand   ";"Birgit Kömpel  ";"Günther Mario Klotzsche  ";"Dr Hildegard Scheu  ";"Wolfgang Lörcher  ";0.583;0.25;0.024;0.054;0.046
175;"Dr Peter Michael Tauber   ";"Bettina Müller  ";"Conrad Buchholz  ";"Udo Gernot Weiß  ";"Andreas Müller  ";0.488;0.324;0.023;0.054;0.053
176;"Markus Benjamin Koob   ";"Dr Hans-Joachim Schabedoth  ";"Dr Stefan Ruppert  ";"Jutta Bruns  ";"Steffen Etzel  ";0.488;0.281;0.036;0.073;0.04
177;"Oswin Veith   ";"Stefan Lux  ";"Natascha Colette Baumann  ";"Antje Gesinn  ";"Gabriele Faulhaber  ";0.471;0.319;0.028;0.074;0.048
178;"Klaus-Peter Willsch   ";"Martin Hermann Rabanus  ";"Alexander Müller  ";"Cornelius Dehm  ";"Benno Pörtner  ";0.521;0.291;0.023;0.056;0.039
179;"Dr Kristina Schröder   ";"Simon Rottloff  ";"Dagmar Döring  ";"Andreas Romppel  ";"Manuela Schon  ";0.436;0.35;0.025;0.075;0.047
180;"Dr Katja Isabel Leikert   ";"Dr Sascha Raabe  ";"Anke Kerstin Pfeil  ";"Angelika Eleonore Wilhelmine Gunkel  ";"Sabine Ingeborg Leidig  ";0.443;0.364;0.025;0.058;0.057
181;"Prof Dr Heinz Riesenhuber   ";"Dr Dieter Falk  ";"Bettina Stark-Watzinger  ";"Kordula Anna Paula Schulz-Asche  ";"Fritz-Walter Hornung  ";0.525;0.271;0.043;0.082;0.042
182;"Prof Dr Matthias Rainer Zimmer   ";"Gregor Amann  ";"Hans-Joachim Otto  ";"Angela Anne Hanisch  ";"Eva Margarete Wiemer  ";0.402;0.33;0.032;0.099;0.079
183;"Erika Steinbach   ";"Ulrike Nissen  ";"Christoph Schnurr  ";"Omid Nouripour  ";"Wolfgang Gehrcke-Reymann  ";0.363;0.304;0.035;0.135;0.061
184;"Dr Franz Josef Friedrich Jung   ";"Gerold Rudolf Reichenbach  ";"Marcella Giovanna Matthes  ";"Benjamin Weiß  ";"Jochen Nagel  ";0.422;0.381;0.02;0.077;0.062
185;"Heinz Peter Wichtel   ";"Dirk Gene Hagelstein  ";"Paul-Gerhard Weiß  ";"Wolfgang Strengmann-Kuhn  ";"Christine Buchholz  ";0.455;0.313;0.028;0.082;0.062
186;"Karl-Heinz (Charles M) Huber  ";"Brigitte Zypries   ";"Dr Angelika Nake  ";"Daniela Wagner  ";"Walter Busch-Hübenbecker  ";0.359;0.373;0.024;0.117;0.052
187;"Patricia Lips   ";"Dr Jens Zimmermann  ";"Dr Heinrich Leonhard Kolb  ";"Felix Möller  ";"Martin Deistler  ";0.469;0.336;0.027;0.069;0.05
188;"Dr Michael Günther Meister   ";"Christine Lambrecht  ";"Till Berthold Mansmann  ";"Dr Uwe Pfennig  ";"Dr Bruno Schwarz  ";0.483;0.318;0.019;0.057;0.039
189;"Manfred Grund   ";"Carmen Listemann  ";"Steffen Richard Dreiling  ";"Norbert Sondermann  ";"Sigrid Hupach  ";0.498;0.165;0.014;0.031;0.198
190;"Christian Hirte   ";"Michael Klostermann  ";"Fred Leise  ";"Rüdiger Bender  ";"Anja Müller  ";0.433;0.185;0.015;0.032;0.237
191;"Johannes Selle   ";"Steffen-Claudio Lemme  ";"Patrick Kurth  ";"Nicol Pfefferlein  ";"Kersten Steinke  ";0.433;0.171;0.018;0.031;0.265
192;"Tankred Schipanski   ";"Petra Heß  ";"Torsten Köhler-Hohlfeld  ";"Steffen Fuchs  ";"Martina Erika Renner  ";0.373;0.25;0.014;0.03;0.201
193;"Antje Tillmann   ";"Carsten Schneider  ";"Florian Andreas Hartjen  ";"Dieter Lauinger  ";"Karola Stange  ";0.371;0.239;0.012;0.06;0.234
194;"Albert Helmut Weiler   ";"Volker Blumentritt  ";"Dr Thomas Nitzsche  ";"Olaf Müller  ";"Ralph Lenkert  ";0.361;0.183;0.017;0.047;0.27
195;"Volkmar Vogel   ";"Dr Nikolaus Theodor Dorsch  ";"Daniel Matthias Scheidel  ";"Jens Klaus Kämpfer  ";"Frank Tempel  ";0.449;0.14;0.016;0.028;0.243
196;"Carola Stauche   ";"Christoph Majewski  ";"Alf-Heinz Borchardt  ";"Stephanie Erben  ";"Knut Korschewsky  ";0.411;0.198;0.023;0.039;0.264
197;"Mark Lars Carsten Hauptmann   ";"Iris Gleicke  ";"Frank Fiedler  ";"Simone Maaß  ";"Jens Petermann  ";0.42;0.183;0.014;0.029;0.273
198;"Erwin Rüddel   ";"Sabine Bätzing-Lichtenthäler  ";"Sandra Weeser  ";"Elisabeth Bröskamp  ";"Jochen Bülow  ";0.469;0.373;0.023;0.04;0.045
199;"Mechthild Heil   ";"Andrea Nahles  ";"Peter Michael Salzmann  ";"Klaus Meurer  ";"Marion Morassi  ";0.555;0.28;0.024;0.056;0.045
200;"Dr Michael Fuchs   ";"Detlev Pilger  ";"Prof Dr Martin Kaschny  ";"Joseph Philip Winkler  ";"Bettina Lau  ";0.48;0.308;0.027;0.08;0.049
201;"Peter Bleser   ";"Anja Bindges  ";"Werner Wöllstein  ";"Joscha Pullich  ";"Martin Krötz  ";0.536;0.279;0.032;0.04;0.045
202;"Antje Lezius   ";"Fritz Rudolf Körper  ";"Klaus-Jürgen Friedrich  ";"Stefan Boxler  ";"Wolfgang Kleudgen  ";0.414;0.376;0.029;0.044;0.052
203;"Patrick Schnieder   ";"Jens Jenssen  ";"Marco Weber  ";"Alice Endres  ";"Ali Damar  ";0.56;0.263;0.032;0.049;0.033
204;"Bernhard Kaster   ";"Dr Katarina Barley  ";"Henrick Meine  ";"Corinna Rüffer  ";"Katrin Werner  ";0.488;0.311;0.019;0.069;0.055
205;"Dr Andreas Nick   ";"Gabi Weber  ";"Dr Kai Mifka  ";"Andrea Weber  ";"Martin Klein  ";0.494;0.31;0.024;0.059;0.048
206;"Ursula Groden-Kranich   ";"Michael Hartmann  ";"Rainer Brüderle  ";"Tabea Rößner  ";"Kathrin Senger-Schäfer  ";0.401;0.349;0.05;0.1;0.043
207;"Jan Metzler   ";"Marcus Held  ";"Manuel Höferlin  ";"Jan Paul Stich  ";"Sebastian Knopf  ";0.42;0.37;0.025;0.056;0.037
208;"Prof Dr Maria Böhmer   ";"Doris Barnett  ";"Dr Thomas Schell  ";"Romeo Franz  ";"Gerald Unger  ";0.433;0.356;0.025;0.048;0.049
209;"Norbert Ludwig Schindler   ";"Heike-Maria Mrosek-Handwerk  ";"Dr Hartmut Lardon  ";"Jutta Paulus  ";"Wolfgang Förster  ";0.479;0.286;0.027;0.081;0.045
210;"Xaver Jung  ";"Gustav Herzog   ";"Christian Kopp  ";"Felicitas Flörchinger  ";"Alexander Ulrich  ";0.372;0.385;0.023;0.053;0.074
211;"Anita Schäfer   ";"Angelika Glöckner  ";"Steven Wink  ";"Felix Schmidt  ";"Frank Eschrich  ";0.459;0.322;0.028;0.041;0.06
212;"Dr Thomas Gebhart   ";"Thomas Hitschler  ";"Dr Volker Wissing  ";"Dr Tobias Lindner  ";"Sebastian Frech  ";0.488;0.28;0.04;0.071;0.041
213;"Stephan Ernst Johann Mayer   ";"Annette Mathilde Heidrich  ";"Ulrich Kastner  ";"Sofie Elisabeth Voit  ";"Alexander Lebedew  ";0.658;0.144;0.021;0.054;0.026
214;"Dr Andreas Lenz   ";"Ewald Schurer  ";"Frank Hansen  ";"Stefan Kisters  ";"Markus Bannert  ";0.554;0.191;0.022;0.08;0.026
215;"Erich Irlstorfer   ";"Florian Simbeck  ";"Dr Jens Uwe Barschdorf  ";"Dr Michael Stanglmaier  ";"Thomas Ludwig Schwarz  ";0.529;0.176;0.025;0.118;0.029
216;"Gerda Hasselfeldt   ";"Michael Schrodi  ";"Andreas Schwarzer  ";"Beate Walter-Rosenheimer  ";"Irina Graf  ";0.556;0.201;0.022;0.078;0.027
217;"Dr Reinhard Brandl   ";"Dr Stefan Schieren  ";"Anton Brandl  ";"Agnes Krumwiede  ";"Eva Bulling-Schröter  ";0.615;0.165;0.02;0.065;0.039
218;"Johannes Singhammer   ";"Florian Post  ";"Ruth Hohenadl  ";"Doris Wagner  ";"Roland Stigge  ";0.432;0.314;0.037;0.103;0.037
219;"Dr Wolfgang Stefinger   ";"Claudia Rosina Tausend  ";"Manfred Krönauer  ";"Ulrike Goldstein  ";"Oguz Lüle  ";0.447;0.287;0.041;0.101;0.034
220;"Dr Peter Gauweiler   ";"Christian Vorländer  ";"Randhir Dindoyal  ";"Jerzy Montag  ";"Nicole Gohlke  ";0.434;0.285;0.03;0.114;0.039
221;"Dr Hans-Peter Uhl   ";"Roland Fischer  ";"Dr Daniel Volk  ";"Dieter Janecek  ";"Nicole Fritsche  ";0.426;0.286;0.04;0.131;0.041
222;"Florian Hahn   ";"Bela Bach  ";"Jimmy Schulz  ";"Dr Anton Hofreiter  ";"Wolfgang Seidel  ";0.525;0.203;0.039;0.111;0.021
223;"Daniela Ludwig   ";"Abuzar Erdogan  ";"Prof Dr Thomas Rauscher  ";"Ursula Zeitlmann  ";"Walter Mini  ";0.581;0.125;0.026;0.094;0.024
224;"Alexander Radwan   ";"Klaus Barthel  ";"Sabine Leutheusser-Schnarrenberger  ";"Karl Bär  ";"Andreas Wagner  ";0.541;0.176;0.074;0.089;0.028
225;"Dr Peter Ramsauer   ";"Dr Bärbel Kofler  ";"Sandra Sonntag  ";"Dr Bernhard Zimmer  ";"Franz Lindlacher  ";0.626;0.176;0.024;0.086;0.029
226;"Alexander Dobrindt   ";"Angelica Dullinger  ";"Klaus Breil  ";"Gabriela Seitz-Hoffmann  ";"Dr Michaele Siebe  ";0.572;0.165;0.029;0.085;0.029
227;"Bartholomäus Kalb   ";"Rita Hagl-Kehl  ";"Dr Sebastian Lommer  ";"Antje Laux  ";"Rolf Pannicke  ";0.614;0.159;0.021;0.045;0.03
228;"Florian Oßner   ";"Harald Hartmut Karl Unfried  ";"Markus Sebastian Sponbrucker  ";"Dr Thomas Gambke  ";"Reinhard Johann Zisler  ";0.581;0.162;0.03;0.083;0.029
229;"Dr Andreas Franz Scheuer   ";"Christian Flisek  ";"";"Maria Anneser  ";"Josef Ilsanker  ";0.598;0.197;0;0.051;0.032
230;"Max Straubinger   ";"Florian Pronold  ";"Siegfried Hermann Seidl  ";"Stefan Haug  ";"Marco Stöger  ";0.611;0.162;0.02;0.047;0.026
231;"Alois Rainer   ";"Johanna Uekermann  ";"Florian Roland Gerolf Erich Weinzierl  ";"Gaby Englmeier  ";"Dietmar, Oliver Kuschke  ";0.612;0.176;0.024;0.032;0.025
232;"Alois Karl   ";"Brigitte Bachmann  ";"Moritz Johann Martin Pöllath  ";"Stefan Rupert Schmidt  ";"Wolfgang Herbert Josef Berndt  ";0.584;0.209;0.021;0.049;0.033
233;"Philipp Graf von und zu Lerchenfeld   ";"Karl Söllner  ";"Horst Meierhofer  ";"Florian Eckert  ";"Wolfgang Wittich  ";0.485;0.22;0.04;0.083;0.034
234;"Karl Holmeier   ";"Marianne Schieder  ";"Alfred Stuiber  ";"Reinhold Schmalzbauer  ";"Georg Kaschner  ";0.577;0.248;0.017;0.032;0.027
235;"Albert Rupprecht   ";"Uli Grötsch  ";"Heinz-Dieter Pauly  ";"Johann Mayer  ";"Klaus Schmitsdorf  ";0.551;0.22;0.015;0.039;0.026
236;"Thomas Silberhorn   ";"Andreas Schwarz  ";"Sebastian Körber  ";"Wolfgang Grader  ";"Wolfgang Dieter Böhme  ";0.522;0.229;0.034;0.082;0.035
237;"Hartmut Koschyk   ";"Anette Kramme  ";"Dr Hermann Hiery  ";"Sabine Steininger  ";"Dr Tilmann Schiel  ";0.559;0.256;0.027;0.063;0.028
238;"Hans Michelbach   ";"Norbert Tessmer  ";"Dr Ulrich Herbert  ";"Manuel Dethloff  ";"René Hähnlein  ";0.501;0.324;0.017;0.039;0.033
239;"Dr Hans-Peter Friedrich   ";"Petra Ernstberger  ";"Stefan Quehl  ";"Elisabeth Scharfenberg  ";"Ulrike Dierkes-Morsy  ";0.551;0.286;0.013;0.055;0.045
240;"Emmi Zeulner   ";"Simon Moritz  ";"Stephan Otte  ";"Valentin Motschmann  ";"Marko Müller  ";0.569;0.228;0.016;0.04;0.03
241;"Josef Göppel   ";"Anette Pappler  ";"Rainer Erdel  ";"Sina Doughan  ";"Peter Schlegel  ";0.533;0.233;0.045;0.059;0.038
242;"Stefan Müller   ";"Martina Stamm-Fibich  ";"Michael Székely  ";"Ernst Rappold  ";"Hans-Joachim Ehnes  ";0.485;0.263;0.022;0.089;0.042
243;"Christian Schmidt   ";"Carsten Dietmar Träger  ";"Franz Martin Fleischer  ";"Uwe Kekeritz  ";"Anny Heike  ";0.492;0.271;0.018;0.082;0.043
244;"Dagmar Gabriele Wöhrl   ";"Gabriela Heinrich  ";"Tilman Gregor Schürer  ";"Harald Roland Fuchs  ";"Harald Weinberg  ";0.394;0.317;0.027;0.101;0.062
245;"Michael Edwin Frieser   ";"Martin Kurt Burkert  ";"Dr Dieter Hans Heinrich Katterle  ";"Birgit Raab  ";"Oswald Emil Greim  ";0.443;0.323;0.018;0.068;0.05
246;"Marlene Mortler   ";"Christian Nürnberger  ";"Marina Walburga Schuster  ";"Tom Thomas Hans Michael Aurnhammer  ";"Dr Helmut Johach  ";0.506;0.276;0.032;0.067;0.036
247;"Andrea Lindholz   ";"Andreas Parr  ";"Dr Helmut Kaltenhauser  ";"Stefan Wagener  ";"Ibrahim Veziroglu  ";0.524;0.251;0.033;0.08;0.028
248;"Dorothee Bär   ";"Sabine Dittmar  ";"Erhard Stubenrauch  ";"Hans-Josef Fell  ";"Stefan Bannert  ";0.579;0.199;0.029;0.079;0.045
249;"Alexander Hoffmann   ";"Bernd Rützel  ";"Uwe Probst  ";"Heiko Gerhard Schmidt  ";"Georg Liebl  ";0.517;0.233;0.026;0.062;0.031
250;"Dr Anja Weisgerber   ";"Ralf Hofmann  ";"Ursula Seissiger  ";"Hans Plate  ";"Klaus Ernst  ";0.548;0.231;0.021;0.058;0.054
251;"Paul Alois Lehrieder   ";"Homaira Mansury  ";"Joachim Spatz  ";"Martin Michael Heilig  ";"Doris Anna Wilhelmine Dörnhöfer  ";0.489;0.255;0.032;0.1;0.033
252;"Dr Volker Michael Ullrich   ";"Ulrike Renate Martina Bahr  ";"Miriam Gruß  ";"Claudia Benedikta Roth  ";"Alexander Wilhelm Süßmair  ";0.444;0.251;0.034;0.11;0.049
253;"Hansjörg Durz   ";"Bernd Bante  ";"Johannes Pabst  ";"Claudia Eser-Schuberth  ";"Daniel Böck  ";0.606;0.177;0.023;0.069;0.03
254;"Ulrich Lange   ";"Gabriele Fograscher  ";"Heinz Liehr  ";"Bettina Merkl-Zierer  ";"Manfred Seel  ";0.606;0.177;0.024;0.063;0.045
255;"Dr Georg Nüßlein   ";"Dr Karl Heinz Brunner  ";"Prof Dr Dr Ralf Uwe Peter  ";"Ekin Deligöz  ";"Elmar Heim  ";0.575;0.184;0.027;0.078;0.035
256;"Dr Gerd Müller   ";"Katharina Marianne Ute Schrader  ";"Stephan Thomae  ";"Michael Schropp  ";"Stefan Albanesi  ";0.607;0.173;0.035;0.085;0.036
257;"Stephan Stracke   ";"Rolf Spitz  ";"René Müller  ";"Elfriede Klein  ";"Paul Meichelböck  ";0.598;0.15;0.017;0.06;0.028
258;"Dr Stefan Kaufmann   ";"Ute Vogt  ";"Judith Skudelny  ";"Cem Özdemir  ";"Christina Frank  ";0.42;0.166;0.026;0.275;0.039
259;"Karin Maag   ";"Nicolas Schäfstoß  ";"Dr Matthias Werwigk  ";"Birgitt Bender  ";"Marta Aparicio de Eckelmann  ";0.438;0.261;0.027;0.139;0.05
260;"Clemens Binninger   ";"Dr Joachim Rücker  ";"Dr Florian Toncar  ";"Sven Reisch  ";"Richard Pitterle  ";0.543;0.237;0.034;0.094;0.04
261;"Markus Grübel   ";"Michael Wechsler  ";"Stefan Schreckenbauer  ";"Jürgen Menzel  ";"Stefan Dreher  ";0.513;0.252;0.019;0.111;0.037
262;"Michael Hennrich   ";"Rainer Arnold  ";"Renata Alt  ";"Matthias Gastel  ";"Claudia Haydt  ";0.51;0.253;0.025;0.099;0.033
263;"Hermann Färber   ";"Heike Baehrens  ";"Werner Simmling  ";"Dr Dennis De  ";"Thomas Edtmaier  ";0.49;0.242;0.034;0.107;0.036
264;"Dr Joachim Pfeiffer   ";"Alexander Bauer  ";"Hartfrid Wolff  ";"Andrea Sieber  ";"Udo Rauhut  ";0.515;0.229;0.037;0.105;0.037
265;"Steffen Bilger   ";"Macit Karaahmetoglu  ";"Alexander Deicke  ";"Ingrid Hönlinger  ";"Peter Schimke  ";0.504;0.212;0.032;0.135;0.048
266;"Eberhard Gienger   ";"Thorsten Majer  ";"Christian Meyer  ";"Andreas Roll  ";"Walter Kubach  ";0.532;0.264;0.031;0.095;0.044
267;"Thomas Strobl   ";"Josip Juratovic  ";"Michael Georg Link  ";"Ulrich Schneider  ";"Heinz Deininger  ";0.514;0.271;0.036;0.075;0.044
268;"Christian Freiherr von Stetten   ";"Annette Sawade  ";"Stephen Brauer  ";"Harald Ebner  ";"Florian Vollert  ";0.523;0.229;0.039;0.1;0.043
269;"Norbert Barthle   ";"Christian Lange  ";"Lisa Strotbek  ";"Michael Straub  ";"Jörg Drechsel  ";0.554;0.248;0.028;0.082;0.04
270;"Roderich Kiesewetter   ";"Claudia Sünder  ";"Wilfried Huber  ";"Margit Stumpp  ";"Klaus Dieter Köhler  ";0.576;0.246;0.018;0.077;0.05
271;"Ingo Wellenreuther   ";"Parsa Marvi  ";"Heinz Golombeck  ";"Sylvia Kotting-Uhl  ";"Karin Binder  ";0.395;0.296;0.032;0.137;0.049
272;"Axel Eduard Fischer   ";"Vanessa Rieß  ";"Patrick Meinhardt  ";"Danyal Bayaz  ";"Heinz Peter Schwertges  ";0.533;0.259;0.028;0.078;0.037
273;"Kai Whittaker   ";"Gabriele Katzmarek  ";"Lutz Jäckel  ";"Jörg Rupp  ";"Norbert Maßon  ";0.535;0.23;0.031;0.084;0.035
274;"Dr Karl Lamers   ";"Lothar Binding  ";"Dirk Niebel  ";"Dr Franziska Brantner  ";"Sahra Mirow  ";0.409;0.306;0.031;0.123;0.041
275;"Dr Egon Jüttner   ";"Stefan Rebmann  ";"Dr Birgit Reinemund  ";"Dr Gerhard Schick  ";"Michael Schlecht  ";0.398;0.324;0.028;0.122;0.066
276;"Alois Gerig   ";"Dr Dorothee Schlegel  ";"Ulrike Quoos  ";"Hans-Detlef Ott  ";"Volker Bohn  ";0.591;0.213;0.018;0.059;0.034
277;"Dr Stephan Harbarth   ";"Dr Lars Castellucci  ";"Jens Brandenburg  ";"Dr Edith Wolber  ";"Bernd Malmberg  ";0.497;0.259;0.025;0.083;0.04
278;"Olav Steffen Gutting   ";"Daniel Born  ";"Lucia Biedermann  ";"Alexander Geiger  ";"Heinrich Stürtz  ";0.518;0.247;0.028;0.068;0.037
279;"Gunther Krichbaum   ";"Katja Mast  ";"Dr Erik Schweickert  ";"Memet Kilic  ";"Milan Kopriva  ";0.495;0.229;0.058;0.08;0.041
280;"Hans-Joachim Fuchtel   ";"Saskia Esken  ";"Reinhard Günther  ";"Dietmar Lust  ";"Franz Groll  ";0.585;0.202;0.029;0.07;0.043
281;"Matern Marschall von Bieberstein   ";"Gernot Erler  ";"Sascha Fiek  ";"Kerstin Andreae  ";"Tobias Pflüger  ";0.349;0.3;0.019;0.209;0.049
282;"Armin Schuster   ";"Dr Thomas Mengel  ";"Dr Tilo Levante  ";"Ina-Sophie Rosenthal  ";"Thomas Grein  ";0.501;0.246;0.024;0.12;0.039
283;"Peter Weiß   ";"Dr Johannes Fechner  ";"Christian Satta  ";"Dorothee Granderath  ";"Rainer Wolf  ";0.523;0.264;0.018;0.115;0.046
284;"Dr Wolfgang Schäuble   ";"Elvira Drobinski-Weiß  ";"Jan Sachs  ";"Ludwig Kornmeier  ";"Lars Stern  ";0.56;0.202;0.021;0.099;0.043
285;"Volker Kauder   ";"Ergun Can  ";"Dr Mechthild Wolber  ";"Susanne Kieckbusch  ";"Edmond Jäger  ";0.578;0.178;0.033;0.075;0.038
286;"Thorsten Frei   ";"Jens Löw  ";"Dr Marcel Klinge  ";"Cornelia Kunkis-Becker  ";"Gotthilf Lorch  ";0.567;0.189;0.025;0.077;0.035
287;"Andreas Jung   ";"Tobias Volz  ";"Birgit Homburger  ";"Nese Erikli  ";"Marco Radojevic  ";0.519;0.192;0.038;0.133;0.041
288;"Thomas Dörflinger   ";"Rita Schwarzelühr-Sutter  ";"Dr Karsten Jung  ";"Peter Schanz  ";"Nicole Stadler  ";0.514;0.28;0.033;0.101;0.044
289;"Michael Donth   ";"Rebecca Hummel  ";"Pascal Kober  ";"Beate Müller-Gemmeke  ";"Günter Franz Wilhelm Herbig  ";0.519;0.202;0.038;0.124;0.04
290;"Annette Widmann-Mauz   ";"Dr Martin Rosemann  ";"Dr Christopher Gohl  ";"Christian Kühn  ";"Heike Hänsel  ";0.469;0.204;0.023;0.165;0.065
291;"Dr Annette Schavan   ";"Hildegard Mattheis  ";"Frank Berger  ";"Annette Weinreich  ";"Eva-Maria Glathe-Braun  ";0.521;0.238;0.026;0.097;0.036
292;"Josef Rief   ";"Martin Gerster  ";"Dr Norbert Mayer  ";"Eugen Schlachter  ";"Ralph Heidenreich  ";0.59;0.198;0.023;0.09;0.034
293;"Lothar Riebsamen   ";"Jochen Jehle  ";"Dr Hans-Peter Wetzel  ";"Alexander Gaus  ";"Annette Groth  ";0.539;0.206;0.039;0.112;0.045
294;"Dr Andreas Schockenhoff   ";"Hannes Munzinger  ";"Ralf Sauer  ";"Agnes Brugger  ";"Michael Konieczny  ";0.516;0.2;0.025;0.136;0.033
