"wknr";"cdsu_names";"spd_names";"fdp_names";"gru_names";"lin_names";"cdsu1share";"spd1share";"fdp1share";"gru1share";"lin1share"
33;"Axel Knoerig   ";"Dr Christoph Lanzendörfer  ";"Marcel Schiller  ";"Torsten Eggelmann  ";"Ingo Waschner  ";0.475;0.334;0.02;0.075;0.035
34;"Andreas Mattfeldt   ";"Christina Jantz  ";"Cédric Kamlah  ";"Erich von Hofe  ";"Herbert Behrens  ";0.44;0.374;0.009;0.068;0.05
35;"Reinhard Dieter Grindel   ";"Lars Klingbeil  ";"Henrik Schröder  ";"Dr Hans-Peter Ludewig  ";"Lennart Onken  ";0.448;0.406;0.017;0.05;0.039
36;"Michael Grosse-Brömer   ";"Svenja Stadler  ";"Nicole Bracht-Bendt  ";"Martina Lammers  ";"Michel Pauly  ";0.452;0.316;0.034;0.071;0.036
37;"Eckhard Pols   ";"Hiltrud Lotze  ";"Dr Tobias Debuch  ";"Julia Verlinden  ";"Johanna Regina Voß  ";0.398;0.337;0.016;0.12;0.059
38;"Dr André Berghegger   ";"Rainer Spiering  ";"Matthias Seestern-Pauly  ";"Florian Zimmeck  ";"Bernhard Rohe  ";0.531;0.323;0.018;0.058;0.036
39;"Dr Mathias Middelberg   ";"Dr Martin Schwanholz  ";"Dr Thomas Thiele  ";"Dorothea Steiner  ";"Derk-Olaf Steggewentz  ";0.457;0.348;0.028;0.089;0.041
40;"Maik Beermann  ";"Sebastian Edathy   ";"Dr Ralf Kirstan  ";"Katja Keul  ";"Torben Franz  ";0.416;0.446;0.014;0.058;0.033
41;"Wilfried Lorenz  ";"Kerstin Tack   ";"Thomas Iseke  ";"Silvia Brigitte Klingenburg-Pülm  ";"Oliver Förste  ";0.365;0.435;0.015;0.077;0.05
42;"Dr Ursula von der Leyen  ";"Edelgard Bulmahn   ";"Patrick Döring  ";"Sven-Christian Kindler  ";"Jörn Jan Leidecker  ";0.339;0.428;0.015;0.102;0.062
43;"Dr Hendrik Hoppenstedt   ";"Caren Marks  ";"Dr Philipp Rösler  ";"Wolfgang-Dietrich von Nordheim  ";"Dr Diether Dehm-Desoi  ";0.443;0.385;0.026;0.05;0.036
44;"Henning Otte   ";"Kirsten Lühmann  ";"Ralf Überheim  ";"Bernd Ebeling  ";"Behiye Uca  ";0.485;0.342;0.013;0.061;0.036
45;"Ingrid Pahlmann  ";"Hubertus Heil   ";"Ernst Schreiber  ";"Monika Berkhan  ";"Jürgen Eggers  ";0.421;0.433;0.014;0.048;0.043
46;"Michael Vietz  ";"Gabriele Lösekrug-Möller   ";"Klaus-Peter Wennemann  ";"Dr Marcus Schaper  ";"Jutta Krellmann  ";0.396;0.423;0.018;0.06;0.046
47;"Dr Maria Flachsbarth  ";"Dr Matthias Miersch   ";"Dirk Weissleder  ";"Abdülselam Dogan  ";"Agnes Hasenjäger  ";0.419;0.434;0.014;0.052;0.041
48;"Ute Bertram   ";"Bernd Westphal  ";"Dr Bernd Fell  ";"Brigitte Pothmer  ";"Lars Leopold  ";0.423;0.413;0.015;0.085;0.049
49;"Uwe Lagosky  ";"Sigmar Gabriel   ";"Dirk Michaelis  ";"Sascha Pitkamin  ";"Dorothée Menzner  ";0.37;0.466;0.011;0.044;0.043
50;"Carsten Müller  ";"Dr Carola Reimann   ";"Florian Bernschneider  ";"Gesche Hand  ";"Andre Patrick Fricke  ";0.35;0.436;0.023;0.071;0.05
51;"Günter Lach   ";"Heinz-Joachim Barchmann  ";"Verony Reichelt  ";"Volker Möll  ";"Pia-Beate Zimmermann  ";0.447;0.387;0.014;0.051;0.044
52;"Dr Roy Kühne  ";"Dr Wilhelm Priesmeier   ";"Olaf Torsten Franz  ";"Viola von Cramon-Taubadel  ";"Michael Ohse  ";0.42;0.424;0.015;0.053;0.046
53;"Fritz Güntzler  ";"Thomas Oppermann   ";"Dr Lutz Knopek  ";"Jürgen Trittin  ";"Gerd Nier  ";0.382;0.404;0.016;0.102;0.052
54;"Elisabeth Charlotte Motschmann  ";"Dr Carsten Günter Erich Sieling   ";"Torsten Heiko Staffeldt  ";"Marieluise Beck  ";"Klaus-Rainer Heinrich Wilhelm Rupp  ";0.302;0.379;0.023;0.139;0.083
55;"Else Katharina Bettina Hornhues  ";"Uwe Karl Beckmeyer   ";"Dr Hauke Hilz  ";"Sülmez Dogan  ";"Kristina Hildtraut Vogt  ";0.287;0.44;0.015;0.084;0.091
56;"Sebastian Steineke   ";"Dagmar Ziegler  ";"Jens-Dieter Engelhardt  ";"Kathrin Anke Boleslawsky  ";"Dr Kirsten Tackmann  ";0.335;0.296;0.013;0.027;0.241
57;"Jens Koeppen   ";"Stefan Zierke  ";"Martin Hoeck  ";"Alice Sarah Polzer-Storek  ";"Sabine Ursula Stüber  ";0.389;0.235;0.016;0.029;0.26
58;"Uwe Wolfgang Werner Feiler   ";"Angelika Krüger-Leißner  ";"Dr Georg Neubauer  ";"Maria Heider  ";"Harald Alfred Petzold  ";0.375;0.28;0.015;0.049;0.196
59;"Hans-Georg von der Marwitz   ";"Olaf Mangold  ";"Fritz Hans Karl Krause-Uhl  ";"Michael Peter Jungclaus  ";"Dr Dagmar Gertraud Elsa Enkelmann  ";0.34;0.203;0.011;0.034;0.329
60;"Andrea Astrid Voßhoff  ";"Dr Frank-Walter Steinmeier   ";"Max Koziolek  ";"Yvonne Plaul  ";"Diana Hertha Golze  ";0.328;0.331;0.016;0.024;0.238
61;"Katherina Birgitt Reiche   ";"Andrea Meta Wicklein  ";"Jacqueline Krüger  ";"Annalena Charlotte Alma Baerbock  ";"Norbert Carl Müller  ";0.326;0.322;0.018;0.072;0.2
62;"Jana Schimke   ";"Tina Fischer  ";"Alice Magdalena Löning  ";"Andreas Eberhard Alexander Rieger  ";"Steffen Kühne  ";0.37;0.272;0.012;0.038;0.219
63;"Martin Maria Otto Felix Patzelt   ";"Lars Wendland  ";"Rolf Offermann  ";"Jörg Gleisenstein  ";"Thomas Hans Nord  ";0.339;0.244;0.017;0.039;0.28
64;"Dr Klaus-Peter Schulze   ";"Ulrich Ronald Freese  ";"Prof Dr Fritz Walter Martin Neumann  ";"Wolfgang Jürgen Renner  ";"Birgit Ottilie Wöllert  ";0.359;0.239;0.02;0.027;0.2
65;"Michael Stübgen   ";"Kerstin Weide  ";"Carmen Schulz  ";"Klaus Ullrich  ";"Matthias Mnich  ";0.409;0.225;0.018;0.025;0.234
66;"Jörg Hellmuth   ";"Marina Angela Kermer  ";"Marcus Faber  ";"Christian Franke  ";"Katrin Kunert  ";0.421;0.176;0.014;0.028;0.303
67;"Manfred Behrens   ";"Waltraud Katharina Wolff  ";"Jens Ackermann  ";"Thomas Schlenker  ";"Thomas Waldheim  ";0.446;0.231;0.027;0.026;0.214
68;"Heike Brehmer   ";"Mario Hennig  ";"Detlef Ebert  ";"Sabine Wetzel  ";"Elke Reinke  ";0.46;0.191;0.014;0.038;0.23
69;"Tino Sorge   ";"Burkhard Lischka  ";"Sven Fricke  ";"Stephan Bischoff  ";"Dr Rosemarie Anna Gertrud Hein  ";0.363;0.252;0.014;0.04;0.252
70;"Hans Ulrich Petzold   ";"Arne Lietz  ";"Cornelia Kuhnert  ";"Steffi Lemke  ";"Jörg Schindler  ";0.446;0.173;0.013;0.044;0.219
71;"Kees Cornelis Petrus Jozef Vries de   ";"Petra Börst-Harder  ";"Veit Erwald Wolpert  ";"Ingo Grötze  ";"Jan Korte  ";0.41;0.154;0.02;0.021;0.288
