jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;csu1;csu2;gru1;gru2;fdp1;fdp2;pds1;pds2
2002;77;Berlin-Pankow;11;1;220153;169910;167993;74948;63503;28089;26765;0;0;10784;27173;6172;8248;43833;33939
2002;78;Berlin-Reinickendorf;11;1;187183;150276;148234;62700;52008;62065;56526;0;0;8937;16260;8651;12613;2815;2915
2002;79;Berlin-Spandau - Charlottenburg-Nord;11;1;184596;143214;140995;62111;53253;54884;49304;0;0;8181;15677;7640;11101;2874;3297
2002;80;Berlin-Steglitz - Zehlendorf;11;1;217030;183251;181369;73783;57251;69453;64054;0;0;18033;33097;13330;17557;2755;3414
2002;81;Berlin-Charlottenburg - Wilmersdorf;11;1;199931;164302;162755;67738;53398;50662;49254;0;0;23005;36611;15016;14757;3271;3728
2002;82;Berlin-Tempelhof - Schöneberg;11;1;237943;191769;189309;67531;66187;65412;60567;0;0;37788;35488;10751;14723;3293;4452
2002;83;Berlin-Neukölln;11;1;197948;148765;146335;61128;53128;53359;49463;0;0;13549;19952;8842;10322;5048;4607
2002;84;Berlin-Friedrichshain - Kreuzberg - Prenzlauer Berg-Ost;11;1;209818;158449;156030;45400;61160;20321;20047;0;0;49204;36073;4738;5894;33324;26828
2002;85;Berlin-Treptow - Köpenick;11;1;189307;147762;145972;57311;60156;26427;25481;0;0;7414;11137;6059;6970;43924;34178
2002;86;Berlin-Marzahn - Hellersdorf;11;1;198349;142239;140475;47210;54446;25291;24821;0;0;3611;6607;4916;6469;52876;38318
2002;87;Berlin-Lichtenberg;11;1;199297;145915;144244;46780;55848;24330;23293;0;0;5857;7708;5388;6068;56981;42282
2002;88;Aachen;5;0;165242;133045;131758;62237;47560;49901;44770;0;0;9308;21933;6879;12789;1638;2143
2002;89;Kreis Aachen;5;0;225120;181166;179015;87913;80222;67640;63027;0;0;7009;12393;11040;16863;1430;1621
2002;90;Heinsberg;5;0;181929;145496;143389;52790;51527;71954;65188;0;0;7972;8195;8772;13656;1599;1274
2002;91;Düren;5;0;196789;158285;156445;70999;64104;67622;62303;0;0;5510;10499;8702;14095;1359;1404
2002;92;Erftkreis I;5;0;237310;193667;191267;93400;83752;70969;65464;0;0;7918;15582;14582;20229;1586;1756
2002;93;Euskirchen - Erftkreis II;5;0;239202;192372;189926;76045;70328;84913;77607;0;0;9037;15312;17272;20879;2059;1843
2002;94;Köln I;5;0;181207;137261;136884;68345;58715;44267;39809;0;0;12469;20765;7407;11815;2213;2617
2002;95;Köln II;5;0;206490;167745;167319;73338;60748;57095;51363;0;0;20417;31921;12241;17963;2110;2976
2002;96;Köln III;5;0;187895;140566;140118;70427;62445;42141;38204;0;0;16465;22535;6929;10900;2735;2796
2002;97;Bonn;5;0;212477;176518;174638;69164;56971;63425;63860;0;0;13163;27278;24731;20198;2052;2773
2002;98;Rhein-Sieg-Kreis I;5;0;220944;180320;178565;78877;67319;73008;69014;0;0;9433;16650;13264;19736;1327;1767
2002;99;Rhein-Sieg-Kreis II;5;0;203878;171712;170545;62546;54879;82059;72961;0;0;9516;16937;13804;21181;1284;1484
2002;100;Oberbergischer Kreis;5;0;210055;170173;168358;73038;64657;75983;70286;0;0;6330;11951;9855;15696;1392;1644
2002;101;Rheinisch-Bergischer Kreis;5;0;210429;177441;175935;70481;63857;78770;66824;0;0;10841;18709;12298;20866;1562;1895
2002;102;Leverkusen - Köln IV;5;0;212452;163626;162507;80624;73726;55241;50482;0;0;12239;17719;9806;14385;1985;2421
