jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;cdu1;cdu2;spd1;spd2;fdp1;fdp2;csu1;csu2;gru1;gru2;pds1;pds2
1994;270;Neustrelitz - Strasburg - Pasewalk - Ueckermünde - Anklam;12;1;142140;103074;99981;100443;45924;43664;27095;25836;2823;3597;0;0;0;2856;22405;21827
1994;271;Neuruppin - Kyritz - Wittstock - Pritzwalk - Perleberg;13;1;165549;117216;115633;116024;34721;35018;57966;56398;3113;3398;0;0;3686;2858;16147;16512
1994;272;Prenzlau - Angermünde - Schwedt - Templin - Gransee;13;1;153231;103310;102181;102301;28314;29071;49871;48010;2026;2121;0;0;3112;2474;18858;18939
1994;273;Oranienburg - Nauen;13;1;153322;110920;109738;110029;29097;28462;53508;52415;2074;2782;0;0;4392;3419;20667;20455
1994;274;Eberswalde - Bernau - Bad Freienwalde;13;1;140349;95452;94588;94525;23958;24361;42181;43642;2028;2276;0;0;2722;2635;22505;19689
1994;275;Brandenburg - Rathenow - Belzig;13;1;166370;115551;113999;114395;30528;30550;57072;55890;3090;3407;0;0;3859;3172;19450;19325
1994;276;Potsdam;13;1;181118;139197;137805;138265;27545;28522;57852;61381;0;3444;0;0;6050;5508;45231;36929
1994;277;Fürstenwalde - Strausberg - Seelow;13;1;171476;123800;122133;122698;31551;31967;55312;55158;2706;2844;0;0;4402;3525;28162;26475
1994;278;Luckenwalde - Zossen - Jüterbog - Königs Wusterhausen;13;1;179950;133432;132019;132329;32773;32925;67022;63905;2260;3302;0;0;4445;3786;24671;25307
1994;279;Frankfurt/Oder - Eisenhüttenstadt - Beeskow;13;1;139934;98703;97613;97852;25946;25507;41367;43031;1678;1980;0;0;3429;2746;23790;21999
1994;280;Cottbus - Guben - Forst;13;1;179276;128007;126493;126896;38796;39801;52494;50963;5017;4021;0;0;4193;3570;24632;26150
1994;281;Senftenberg - Calau - Spremberg;13;1;152193;105856;104301;104391;39649;38868;41110;40281;2532;2714;0;0;3299;2701;17711;17655
