jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;csu1;csu2;gru1;gru2;fdp1;fdp2;pds1;pds2
1998;95;Bottrop - Recklinghausen IV;5;0;136471;116158;114779;115116;72500;69222;32148;29423;0;0;4096;5737;1785;4585;1579;1521
1998;96;Borken II;5;0;227754;193089;191244;191335;78949;74400;95998;86734;0;0;9057;11421;4139;13010;909;1148
1998;97;Coesfeld - Steinfurt I;5;0;234217;203700;201777;201978;83908;77481;98949;87428;0;0;8933;13930;5833;16249;0;1517
1998;98;Steinfurt II;5;0;233877;199869;197494;197818;99261;92186;82342;72552;0;0;7983;11999;5421;14135;0;1536
1998;99;Münster;5;0;200200;173696;172410;172560;72145;62741;76231;60657;0;0;14474;23488;5405;19249;1680;2537
1998;100;Warendorf;5;0;200813;174366;171828;172201;72126;71426;80610;70015;0;0;7541;9570;7727;14476;1368;1565
1998;101;Gütersloh;5;0;236193;201054;198183;198682;86138;81191;91250;79325;0;0;9175;12940;5888;15806;1601;1912
1998;102;Bielefeld;5;0;243952;208194;205616;205891;103139;92339;76022;64801;0;0;14535;21777;5294;14874;2654;3749
1998;103;Herford - Minden-Lübbecke I;5;0;199876;170158;166849;167692;88523;81897;64274;56945;0;0;6043;9302;4588;10782;0;1773
1998;104;Minden-Lübbecke II;5;0;235847;197322;194338;194814;102735;94294;73007;65639;0;0;7199;11006;6419;14086;0;1862
1998;105;Lippe I;5;0;173949;148686;146622;146824;76572;72447;54021;47138;0;0;5586;8334;5790;11407;1320;1511
1998;106;Höxter - Lippe II;5;0;216425;184849;182212;182442;77591;74376;85954;76157;0;0;7080;9713;5121;13364;1533;1646
1998;107;Paderborn;5;0;205311;172520;169910;170451;57482;55505;91530;84916;0;0;9849;9296;6061;12403;0;1371
1998;108;Hagen;5;0;150667;122771;121315;121497;67854;63406;39798;35641;0;0;4343;6668;3238;7498;1377;1508
1998;109;Ennepe-Ruhr-Kreis I;5;0;188051;162063;160165;160566;91414;85000;52021;44741;0;0;8624;10822;4268;11310;0;1717
1998;110;Bochum I;5;0;185163;156208;154522;154820;93768;90477;43017;36943;0;0;9985;11977;2741;6981;2083;2221
1998;111;Bochum II - Ennepe-Ruhr-Kreis II;5;0;179427;151834;150053;150404;89934;86682;41325;35132;0;0;9966;12465;3345;7927;1872;2183
1998;112;Herne - Bochum III;5;0;135335;111831;110574;110750;72475;69830;27068;23845;0;0;4639;5846;1558;3904;1787;1727
