jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;fdp1;fdp2;pds1;pds2;gru1;gru2;csu1;csu2
2009;48;Hannover-Land II;3;0;239450;183314;181309;73215;59493;65573;57144;12982;22004;11976;13908;12533;18936;0;0
2009;49;Hildesheim;3;0;222804;167520;165718;64555;54487;60376;52747;10231;18752;11402;13429;14856;17360;0;0
2009;50;Salzgitter - Wolfenbüttel;3;0;213208;157578;155411;69631;53144;50519;47719;9436;16479;12538;15569;9032;13744;0;0
2009;51;Braunschweig;3;0;189975;139948;138413;53572;39774;47584;40135;7507;15845;10801;13763;12012;19831;0;0
2009;52;Helmstedt - Wolfsburg;3;0;187831;135261;133471;46064;42391;52427;45319;8480;14114;10216;11309;10692;11801;0;0
2009;53;Goslar - Northeim - Osterode;3;0;214330;156221;154174;60107;50912;54451;46256;12719;21481;14083;14988;9624;12983;0;0
2009;54;Göttingen;3;0;224468;166515;164607;60483;48788;56503;47343;10765;22086;12493;14635;21360;23708;0;0
2009;55;Bremen I;4;0;256131;188189;186090;62588;52387;53255;46284;13587;21021;21226;24883;31564;32556;0;0
2009;56;Bremen II - Bremerhaven;4;0;231847;154838;152521;58879;50032;39186;34680;10850;14947;21647;23486;16985;19727;0;0
2009;57;Prignitz - Ostprignitz-Ruppin - Havelland I;12;1;171705;108017;104997;33532;29446;22851;24913;8162;9068;32198;30550;4483;4587;0;0
2009;58;Uckermark - Barnim I;12;1;169284;105814;102804;27674;26761;26512;24524;6396;7907;32791;31833;4385;4762;0;0
2009;59;Oberhavel - Havelland II;12;1;249983;171514;167335;48621;42959;46088;41575;12963;19163;40334;38980;12193;12974;0;0
2009;60;Märkisch-Oderland - Barnim II;12;1;255165;173707;169292;38441;36544;39863;36583;11115;15311;62523;56938;8181;10211;0;0
2009;61;Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I;12;1;199083;128273;124565;40957;34451;30733;29834;7328;9992;35484;35643;4771;6047;0;0
2009;62;Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II;12;1;239221;174226;170666;48720;44450;40708;36600;12356;17986;48515;43354;16479;18279;0;0
2009;63;Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I;12;1;246651;170204;165465;53384;42834;40882;39092;11959;16102;43348;44923;9041;9912;0;0
2009;64;Frankfurt (Oder) - Oder-Spree;12;1;208525;139228;135631;38470;32750;30153;30506;10125;12018;43589;42581;7502;7464;0;0
2009;65;Cottbus - Spree-Neiße;12;1;196389;128179;124649;34529;29999;29829;30360;10878;11230;37224;36561;5650;6093;0;0
2009;66;Elbe-Elster - Oberspreewald-Lausitz II;12;1;192709;126140;122148;32688;28022;35073;33467;8487;10865;34324;34203;3861;4238;0;0
2009;67;Altmark;15;1;182677;112980;110238;22070;19516;34501;33330;6558;9725;36910;37034;3725;5212;0;0
2009;68;Börde - Jerichower Land;15;1;239481;146265;143041;31994;25606;46686;45060;13914;15368;41040;43781;5041;6081;0;0
2009;69;Harz;15;1;236946;144340;141641;28732;24320;46632;44402;10236;13274;43952;45676;7791;7141;0;0
2009;70;Magdeburg;15;1;254287;152948;150366;32844;28217;46481;42150;9890;13801;48069;48333;8637;10281;0;0
2009;71;Dessau - Wittenberg;15;1;197289;122932;120812;22187;19739;43424;38247;8810;12614;36809;37709;5004;6131;0;0
2009;72;Anhalt;15;1;248457;143128;139843;30401;23225;43722;42696;10929;14764;44087;46628;4878;5221;0;0
2009;73;Halle;15;1;223268;139785;137600;22341;21684;42430;37004;11760;15974;46272;43617;11056;11950;0;0
2009;74;Burgenland - Saalekreis;15;1;214081;127503;125029;23592;19513;41281;39777;11224;14153;39610;39876;3950;4740;0;0
2009;75;Mansfeld;15;1;232086;136840;134102;23028;21030;43014;39645;10818;14574;47051;46802;5465;4977;0;0
